movie_id,title,year,genres
1,toy story,1995,Animation Adventure Comedy Family Fantasy
2,goldeneye,1995,Action Adventure Thriller
3,four rooms,1995,Comedy
4,get shorty,1995,Comedy Crime Thriller
5,copycat,1995,Drama Mystery Thriller
6,shanghai triad yao a yao yao dao waipo qiao,1995,
7,twelve monkeys,1995,Mystery Sci-Fi Thriller
8,babe,1995,Comedy Drama Family
9,dead man walking,1995,Crime Drama
10,richard iii,1995,Drama Sci-Fi War
11,seven se7en,1995,Crime Drama Mystery Thriller
12,usual suspects the,1995,Crime Mystery Thriller
13,mighty aphrodite,1995,Comedy Fantasy Romance
14,postino il,1994,Biography Comedy Drama Romance
15,mr hollands opus,1995,Drama Music
16,french twist gazon maudit,1995,Comedy
17,from dusk till dawn,1996,Action Crime Horror
18,white balloon the,1995,Drama Family
19,antonias line,1995,Comedy Drama
20,angels and insects,1995,Drama Romance
21,muppet treasure island,1996,Action Adventure Comedy Family Musical Romance
22,braveheart,1995,Biography Drama History War
23,taxi driver,1976,Crime Drama
24,rumble in the bronx,1995,Action Comedy Crime Thriller
25,birdcage the,1996,Comedy
26,brothers mcmullen the,1995,Comedy Drama Romance
27,bad boys,1995,Action Comedy Crime Thriller
28,apollo 13,1995,Adventure Drama History
29,batman forever,1995,Action Adventure
30,belle de jour,1967,Drama Romance
31,crimson tide,1995,Action Drama Thriller War
32,crumb,1994,Documentary Biography Comedy
33,desperado,1995,Action Crime Thriller
34,doom generation the,1995,Comedy Crime Drama
35,free willy 2 the adventure home,1995,Adventure Drama Family
36,mad love,1995,Comedy Drama Romance
37,nadja,1994,Drama Horror
38,net the,1995,Action Crime Drama Mystery Thriller
39,strange days,1995,Action Crime Drama Sci-Fi Thriller
40,to wong foo thanks for everything julie newmar,1995,Comedy Drama
41,billy madison,1995,Comedy
42,clerks,1994,Comedy
43,disclosure,1994,Drama Thriller
44,dolores claiborne,1994,
45,eat drink man woman,1994,Comedy Drama Romance
46,exotica,1994,Drama
47,ed wood,1994,Biography Comedy Drama
48,hoop dreams,1994,Documentary Drama Sport
49,iq,1994,
50,star wars,1977,Action Adventure Fantasy Sci-Fi
51,legends of the fall,1994,Drama Romance War Western
52,madness of king george the,1994,Biography Comedy Drama History
53,natural born killers,1994,Action Crime Drama
54,outbreak,1995,Action Drama Thriller
55,professional the,1994,Action Crime Drama Thriller
56,pulp fiction,1994,Crime Drama
57,priest,1994,Drama Romance
58,quiz show,1994,Biography Drama History
59,three colors red,1994,Drama Mystery Romance
60,three colors blue,1993,Drama Music Mystery Romance
61,three colors white,1994,Comedy Drama Romance
62,stargate,1994,Action Adventure Sci-Fi
63,santa clause the,1994,Comedy Drama Family Fantasy
64,shawshank redemption the,1994,Drama
65,whats eating gilbert grape,1993,Drama
66,while you were sleeping,1995,Comedy Drama Romance
67,ace ventura pet detective,1994,Comedy
68,crow the,1994,Action Drama Fantasy
69,forrest gump,1994,Drama Romance
70,four weddings and a funeral,1994,Comedy Drama Romance
71,lion king the,1994,Animation Adventure Drama Family Musical
72,mask the,1994,Action Comedy Crime Fantasy
73,maverick,1994,Action Adventure Comedy Thriller Western
74,faster pussycat kill kill,1965,Action Comedy
75,brother minister the assassination of malcolm x,1994,Documentary
76,carlitos way,1993,Crime Drama Thriller
77,firm the,1993,Drama Mystery Thriller
78,free willy,1993,Adventure Drama Family
79,fugitive the,1993,Action Crime Drama Mystery Thriller
80,hot shots part deux,1993,Action Comedy
81,hudsucker proxy the,1994,Comedy Drama Fantasy
82,jurassic park,1993,Action Adventure Sci-Fi Thriller
83,much ado about nothing,1993,Comedy Drama Romance
84,robert a heinleins the puppet masters,1994,Horror Sci-Fi Thriller
85,ref the,1994,Comedy Crime Drama
86,remains of the day the,1993,Drama Romance
87,searching for bobby fischer,1993,Biography Drama
